CLAVE,CLAVE_OMM,NOMBRE,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,INICIO,FIN,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES
00002104,,El CIPRES,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,ARROYO DEL MANEADERO,CLIMATOLOGICA,CONAGUA-DGE,01/06/1976,30/06/2010,OPERANDO,31,47,25,116,35,17,8.0,
00002105,,SAN PEDRO MARTIR (PARQUE NACIONAL),ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO LAS ANIMAS-SANTO DOMINGO,ARROYO SANTO DOMINGO,CLIMATOLOGICA,CONAGUA-DGE,01/12/1976,30/09/1998,SUSPENDIDA,30,58,8,115,34,54,2500.0,
00002106,,MANEADERO,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO LAS ANIMAS-SANTO DOMINGO,ARROYO LAS ANIMAS,CLIMATOLOGICA,CONAGUA-DGE,01/10/1977,28/02/2010,OPERANDO,31,41,44,116,34,22,50.0,
00002107,,PERCEBU,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,AGUA DULCE-SANTA CLARA,ARROYO HUATAMOTE,CLIMATOLOGICA,CONAGUA-DGE,01/01/1976,30/11/2010,OPERANDO,30,53,8,114,46,45,4.0,
00002108,,PUNTA BANDA,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO LAS ANIMAS-SANTO DOMINGO,ARROYO LAS ANIMAS,CLIMATOLOGICA,CONAGUA-DGE,01/10/1977,30/11/2010,OPERANDO,31,42,50,116,39,58,15.0,
00002109,,SANTA ROSALITA,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,ARROYO SAN BORJA,CLIMATOLOGICA,CONAGUA-DGE,01/12/1977,30/11/2010,OPERANDO,28,40,5,114,14,13,8.0,
00002110,,GUAYAQUIL,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO ESCOPETA-CAÑON SAN FERNANDO,CAÑON DE SAN FERNANDO,CLIMATOLOGICA,CONAGUA-DGE,01/12/1977,30/11/2010,OPERANDO,29,58,2,115,5,49,530.0,
00002111,,EJIDO NUEVO BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO ESCOPETA-CAÑON SAN FERNANDO,ARROYO DE LA ESCOPETA,CLIMATOLOGICA,CONAGUA-DGE,01/11/1977,30/06/2011,OPERANDO,30,31,2,115,55,53,17.0,
00002114,,EJIDO CARMEN SERDAN,TECATE,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,RIO LAS PALOMAS,CLIMATOLOGICA,CONAGUA-DGE,01/10/1979,28/02/2011,OPERANDO,32,14,37,116,35,4,560.0,
00002118,,VALLE DE SAN RAFAEL,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,RIO GUADALUPE,CLIMATOLOGICA,CONAGUA-DGE,01/11/1979,30/11/2010,OPERANDO,31,55,8,116,14,3,721.0,
